"Mean","Std Dev","Min","Max","N"
0.0796875,0.270829952375305,0,1,510
0.20046875,0.400382414821306,0,1,1283
0.21921875,0.413749486855398,0,1,1403
0.1709375,0.376483755255865,0,1,1094
0.13734375,0.344236778683519,0,1,879
0.10921875,0.311937844111358,0,1,699
0.083125,0.276092638196648,0,1,532
0.454134165366615,0.497930722712789,0,1,2911
0.545865834633385,0.497930722712789,0,1,3499
0.761822194199243,0.42600204791361,0,1,4833
0.12515762925599,0.330923645494257,0,1,794
0.0195460277427491,0.138444941483846,0,1,124
0.0337326607818411,0.180554443527475,0,1,214
0.0597414880201765,0.237025944667638,0,1,379
0.0497951465490072,0.21753861053832,0,1,316
0.395052001260637,0.488900381259656,0,1,2507
0.275606681374094,0.446854678732268,0,1,1749
0.279546170816262,0.448811598272817,0,1,1774
0.255643947538164,0.436269460576419,0,1,1189
0.413459471081488,0.49250674076721,0,1,1923
0.330896581380348,0.470586493199559,0,1,1539
0.171450858034321,0.376931858974431,0,1,1099
0.267706708268331,0.442798390720547,0,1,1716
0.357566302652106,0.479320857106187,0,1,2292
0.203276131045242,0.402467657727844,0,1,1303
0.15704347826087,0.363873399623117,0,1,903
0.193217391304348,0.394856361292784,0,1,1111
0.321217391304348,0.466984694463968,0,1,1847
0.268173913043478,0.443047179132621,0,1,1542
0.0603478260869565,0.238150854703638,0,1,347
0.632943013270882,0.482039867137856,0,1,4054
0.0107728337236534,0.103239739727515,0,1,69
0,0,0,0,0
0.0360655737704918,0.186467897434753,0,1,231
0.174707259953162,0.379746162653467,0,1,1119
0.0365339578454333,0.187629220042196,0,1,234
0.0839968774395004,0.277404788359653,0,1,538
0.162776124079586,0.369190210224768,0,1,1039
0.699044336518878,0.458709403543817,0,1,4462
0.680532445923461,0.466367354730752,0,1,1636
0.137687188019967,0.344643054635315,0,1,331
0.106905158069884,0.309056916173849,0,1,257
0.0511647254575707,0.220379443112592,0,1,123
0.00582362728785358,0.076105992021832,0,1,14
0.841520650813517,0.365218444882313,0,1,5379
0,0,0,0,0
0.540362953692115,0.498407157414763,0,1,3454
0.18116395494368,0.385184095852331,0,1,1158
0.122496871088861,0.327884441295399,0,1,783
0.0298811013767209,0.170272595990203,0,1,191
0.353822152886115,0.478192127290849,0,1,2268
0.285179407176287,0.451535070689625,0,1,1828
0.12810707456979,0.334244501447137,0,1,603
0.00169959634586786,0.0411954883392045,0,1,8
0.55113373438223,0.497436019082514,0,1,2382
